Model,Train_Accuracy,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
LogisticRegression,0.72875,0.615,0.6112938596491229,0.831858407079646,0.618421052631579,0.7094339622641509,0.6839364035087719,0.6883088869715273,0.043585070537831665
RandomForest,0.8475,0.745,0.6611842105263157,0.8389261744966443,0.8223684210526315,0.8305647840531561,0.7268366228070177,0.730327868852459,0.05852253008745805
HistGradientBoosting,0.93625,0.775,0.5953947368421053,0.7988826815642458,0.9407894736842105,0.8640483383685801,0.6999725877192983,0.7293356341673857,0.03684988390138683
